Date, Open, High, Low, Close, Volume
10/31/24, 1605, 1605, 1540, 1600, 219900406
10/30/24, 1620, 1650, 1610, 1630, 114888203
10/29/24, 1620, 1625, 1595, 1615, 50332699
10/28/24, 1590, 1640, 1590, 1610, 75462305
10/25/24, 1620, 1655, 1585, 1585, 84326305
10/24/24, 1640, 1650, 1620, 1620, 55964602
10/23/24, 1680, 1685, 1640, 1650, 66120102
10/22/24, 1695, 1700, 1660, 1670, 87540602
10/21/24, 1645, 1765, 1640, 1690, 243375703
10/18/24, 1630, 1635, 1605, 1625, 83020898
10/17/24, 1585, 1625, 1570, 1620, 103812398
10/16/24, 1600, 1600, 1570, 1570, 89196203
10/15/24, 1630, 1630, 1590, 1600, 131950891
10/14/24, 1575, 1640, 1565, 1630, 173551812
10/11/24, 1545, 1565, 1535, 1565, 86316094
10/10/24, 1515, 1540, 1515, 1535, 59202602
10/09/24, 1515, 1525, 1490, 1515, 73795695
10/08/24, 1545, 1575, 1505, 1525, 137208797
10/07/24, 1530, 1555, 1525, 1545, 85637906
10/04/24, 1535, 1545, 1500, 1525, 75683203
10/03/24, 1550, 1590, 1535, 1535, 199006703
10/02/24, 1510, 1570, 1480, 1535, 254461594
10/01/24, 1490, 1510, 1480, 1500, 123533000
09/30/24, 1480, 1490, 1435, 1480, 131933000
09/27/24, 1430, 1480, 1425, 1470, 146334797
09/26/24, 1450, 1450, 1415, 1425, 119737297
09/25/24, 1420, 1445, 1405, 1440, 213527109
09/24/24, 1400, 1410, 1385, 1410, 99822094
09/23/24, 1380, 1410, 1380, 1395, 124951508
09/20/24, 1380, 1385, 1365, 1370, 66852398
09/19/24, 1365, 1380, 1360, 1375, 64130699
09/18/24, 1380, 1380, 1365, 1365, 54056602
09/17/24, 1350, 1390, 1345, 1380, 153082203
09/13/24, 1365, 1370, 1330, 1335, 101550203
09/12/24, 1325, 1360, 1315, 1345, 104507602
09/11/24, 1320, 1345, 1315, 1315, 95724000
09/10/24, 1320, 1335, 1305, 1320, 61469801
09/09/24, 1335, 1340, 1305, 1320, 92572797
09/06/24, 1345, 1360, 1330, 1335, 77347000
09/05/24, 1350, 1370, 1330, 1345, 106245297
09/04/24, 1350, 1370, 1340, 1345, 98870898
09/03/24, 1400, 1405, 1365, 1370, 87618492
09/02/24, 1400, 1415, 1385, 1395, 116937203
08/30/24, 1415, 1420, 1390, 1390, 764070312
08/29/24, 1450, 1455, 1400, 1410, 111056898
08/28/24, 1480, 1485, 1450, 1450, 41278000
08/27/24, 1480, 1485, 1450, 1470, 37690699
08/26/24, 1460, 1480, 1450, 1480, 75022898
08/23/24, 1445, 1465, 1445, 1450, 45814102
08/22/24, 1470, 1475, 1430, 1440, 73634492
08/21/24, 1485, 1525, 1465, 1470, 133225203
08/20/24, 1480, 1495, 1455, 1475, 88428898
08/19/24, 1475, 1510, 1460, 1470, 179600094
08/16/24, 1405, 1510, 1400, 1460, 377536062
08/15/24, 1310, 1390, 1305, 1385, 177044188
08/14/24, 1310, 1320, 1290, 1305, 46923102
08/13/24, 1320, 1330, 1280, 1310, 109937297
08/12/24, 1290, 1310, 1290, 1310, 38054699
08/09/24, 1285, 1300, 1280, 1285, 26308699
08/08/24, 1295, 1300, 1270, 1270, 46868602
08/07/24, 1295, 1315, 1295, 1295, 20663400
08/06/24, 1290, 1305, 1280, 1295, 27910199
08/05/24, 1330, 1330, 1265, 1285, 65319000
08/02/24, 1335, 1350, 1320, 1345, 32243400
08/01/24, 1340, 1355, 1325, 1345, 54534699
07/31/24, 1310, 1325, 1305, 1315, 34840102
07/30/24, 1320, 1330, 1300, 1300, 30804100
07/29/24, 1325, 1350, 1310, 1310, 62519500
07/26/24, 1285, 1300, 1280, 1295, 33791398
07/25/24, 1305, 1310, 1275, 1280, 44789301
07/24/24, 1315, 1325, 1305, 1310, 28205301
07/23/24, 1340, 1350, 1305, 1315, 48954699
07/22/24, 1350, 1360, 1330, 1340, 35890602
07/19/24, 1375, 1380, 1330, 1350, 60206398
07/18/24, 1395, 1405, 1375, 1375, 53937000
07/17/24, 1360, 1395, 1355, 1380, 65083199
07/16/24, 1350, 1365, 1335, 1340, 30321900
07/15/24, 1360, 1370, 1330, 1350, 27711000
07/12/24, 1365, 1380, 1350, 1360, 38784199
07/11/24, 1345, 1365, 1320, 1360, 36634301
07/10/24, 1350, 1365, 1345, 1345, 25808000
07/09/24, 1365, 1375, 1340, 1345, 39832500
07/08/24, 1315, 1365, 1315, 1365, 61088000
07/05/24, 1325, 1330, 1305, 1310, 21984500
07/04/24, 1325, 1335, 1320, 1325, 46070602
07/03/24, 1295, 1315, 1280, 1315, 40057602
07/02/24, 1310, 1315, 1280, 1295, 58443102
07/01/24, 1255, 1305, 1250, 1305, 69300094
06/28/24, 1235, 1265, 1230, 1250, 54955602
06/27/24, 1200, 1230, 1200, 1230, 24220600
06/26/24, 1230, 1235, 1210, 1215, 29664301
06/25/24, 1255, 1260, 1220, 1225, 29652400
06/24/24, 1235, 1260, 1235, 1250, 22559600
06/21/24, 1220, 1255, 1220, 1230, 56220602
06/20/24, 1215, 1225, 1200, 1215, 33480602
06/19/24, 1215, 1225, 1175, 1215, 36744000
06/14/24, 1255, 1260, 1205, 1210, 48922898
06/13/24, 1270, 1285, 1255, 1255, 40672000
06/12/24, 1255, 1270, 1240, 1270, 35959898
06/11/24, 1240, 1280, 1240, 1255, 64084301
06/10/24, 1290, 1300, 1215, 1240, 98034094
06/07/24, 1320, 1350, 1300, 1300, 77512797
06/06/24, 1345, 1380, 1305, 1315, 73528000
06/05/24, 1440, 1445, 1340, 1340, 111832305
06/04/24, 1470, 1485, 1435, 1440, 60287602
06/03/24, 1465, 1490, 1465, 1470, 29619199
05/31/24, 1490, 1510, 1465, 1465, 81505203
05/30/24, 1525, 1525, 1490, 1490, 38241898
05/29/24, 1525, 1540, 1505, 1525, 27076801
05/28/24, 1500, 1535, 1500, 1515, 33679301
05/27/24, 1525, 1535, 1490, 1495, 34506000
05/22/24, 1565, 1580, 1520, 1525, 42177500
05/21/24, 1545, 1595, 1540, 1565, 59237699
05/20/24, 1645, 1670, 1645, 1655, 113540602
05/17/24, 1585, 1635, 1585, 1620, 88081102
05/16/24, 1585, 1590, 1560, 1565, 52891500
05/15/24, 1535, 1575, 1535, 1565, 51245199
05/14/24, 1520, 1545, 1515, 1525, 31675400
05/13/24, 1540, 1550, 1515, 1525, 36491801
05/08/24, 1505, 1575, 1480, 1535, 109109000
05/07/24, 1530, 1540, 1500, 1505, 40340301
05/06/24, 1505, 1530, 1490, 1515, 41690801
05/03/24, 1515, 1535, 1475, 1490, 70350094
05/02/24, 1605, 1610, 1510, 1510, 100915203
04/30/24, 1625, 1640, 1600, 1640, 42746699
04/29/24, 1600, 1620, 1570, 1615, 44759602
04/26/24, 1600, 1615, 1575, 1595, 45105102
04/25/24, 1680, 1695, 1585, 1590, 77798398
04/24/24, 1745, 1750, 1680, 1680, 42661102
04/23/24, 1770, 1775, 1730, 1740, 53470398
04/22/24, 1780, 1800, 1760, 1770, 70463000
04/19/24, 1765, 1770, 1725, 1760, 86892703
04/18/24, 1800, 1815, 1710, 1725, 105257297
04/17/24, 1815, 1845, 1775, 1795, 97314203
04/16/24, 1685, 1810, 1680, 1810, 201068188
04/05/24, 1665, 1675, 1645, 1670, 35349898
04/04/24, 1660, 1675, 1650, 1660, 47638602
04/03/24, 1650, 1660, 1630, 1645, 55402398
04/02/24, 1580, 1640, 1575, 1640, 46410199
04/01/24, 1615, 1635, 1545, 1580, 61273102
03/28/24, 1640, 1655, 1580, 1600, 62687898
03/27/24, 1665, 1675, 1625, 1635, 34509199
03/26/24, 1660, 1675, 1650, 1665, 35072602
03/25/24, 1670, 1685, 1650, 1660, 51279199
03/22/24, 1700, 1700, 1660, 1670, 46307801
03/21/24, 1685, 1720, 1680, 1700, 85481508
03/20/24, 1660, 1670, 1645, 1660, 38425602
03/19/24, 1665, 1690, 1660, 1660, 49266199
03/18/24, 1615, 1675, 1605, 1655, 66602000
03/15/24, 1645, 1645, 1610, 1615, 51840102
03/14/24, 1630, 1645, 1610, 1645, 69006398
03/13/24, 1575, 1635, 1575, 1620, 116310703
03/08/24, 1595, 1600, 1550, 1565, 52659102
03/07/24, 1535, 1580, 1535, 1575, 84824094
03/06/24, 1465, 1540, 1465, 1525, 81197000
03/05/24, 1470, 1485, 1460, 1460, 37549801
03/04/24, 1495, 1500, 1460, 1460, 31713699
03/01/24, 1465, 1490, 1465, 1480, 27751500
02/29/24, 1495, 1505, 1460, 1460, 48510500
02/28/24, 1490, 1500, 1470, 1490, 23374699
02/27/24, 1515, 1515, 1470, 1480, 45781699
02/26/24, 1555, 1565, 1510, 1515, 28487100
02/23/24, 1525, 1550, 1505, 1550, 58962898
