Date, Open, High, Low, Close, Volume
10/31/24, 10325, 10475, 10250, 10250, 97553398
10/30/24, 10275, 10400, 10275, 10350, 114484094
10/29/24, 10525, 10575, 10500, 10500, 49680102
10/28/24, 10825, 10825, 10600, 10600, 39061500
10/25/24, 10650, 10750, 10625, 10750, 34847500
10/24/24, 10725, 10850, 10700, 10700, 85341203
10/23/24, 10475, 10650, 10475, 10650, 48903000
10/22/24, 10475, 10600, 10475, 10500, 94799508
10/21/24, 10850, 10850, 10675, 10675, 36472500
10/18/24, 10875, 10875, 10725, 10750, 56299602
10/17/24, 10550, 10800, 10500, 10725, 66993297
10/16/24, 10700, 10725, 10475, 10475, 63255898
10/15/24, 10550, 10625, 10450, 10625, 66635203
10/14/24, 10375, 10500, 10375, 10500, 31738600
10/11/24, 10575, 10575, 10375, 10375, 44632102
10/10/24, 10425, 10500, 10400, 10500, 51080000
10/09/24, 10400, 10525, 10400, 10425, 56835199
10/08/24, 10200, 10500, 10150, 10400, 99622898
10/07/24, 10350, 10375, 10250, 10300, 91867906
10/04/24, 10400, 10475, 10350, 10475, 58500398
10/03/24, 10450, 10525, 10400, 10450, 60887000
10/02/24, 10325, 10550, 10325, 10500, 86746203
10/01/24, 10400, 10550, 10375, 10550, 59797699
09/30/24, 10475, 10550, 10325, 10325, 144692094
09/27/24, 10500, 10750, 10400, 10650, 93027398
09/26/24, 10875, 10875, 10675, 10700, 84960094
09/25/24, 10675, 10850, 10525, 10850, 158369109
09/24/24, 10775, 10950, 10775, 10800, 105191102
09/23/24, 10725, 10950, 10725, 10950, 72553797
09/20/24, 10900, 10900, 10775, 10775, 142194594
09/19/24, 10700, 10900, 10650, 10900, 140886594
09/18/24, 10500, 10625, 10450, 10625, 65420199
09/17/24, 10450, 10500, 10350, 10500, 89745000
09/13/24, 10400, 10425, 10325, 10425, 70057102
09/12/24, 10450, 10500, 10375, 10475, 70759102
09/11/24, 10425, 10425, 10350, 10425, 64621301
09/10/24, 10350, 10350, 10275, 10350, 55093102
09/09/24, 10300, 10350, 10200, 10275, 36185102
09/06/24, 10225, 10300, 10225, 10300, 31541801
09/05/24, 10350, 10350, 10250, 10250, 39332898
09/04/24, 10150, 10300, 10125, 10300, 44817000
09/03/24, 10325, 10325, 10150, 10175, 50950199
09/02/24, 10375, 10375, 10200, 10275, 72008602
08/30/24, 10325, 10325, 10200, 10325, 158403703
08/29/24, 10500, 10500, 10225, 10225, 53004699
08/28/24, 10300, 10350, 10250, 10350, 38489898
08/27/24, 10275, 10300, 10175, 10200, 60448398
08/26/24, 10275, 10375, 10250, 10325, 35145602
08/23/24, 10325, 10375, 10300, 10325, 46651602
08/22/24, 10350, 10400, 10225, 10325, 56611602
08/21/24, 10500, 10500, 10425, 10425, 84848797
08/20/24, 10325, 10450, 10300, 10425, 60304398
08/19/24, 10325, 10425, 10275, 10375, 51054398
08/16/24, 10300, 10325, 10250, 10325, 40731398
08/15/24, 10200, 10300, 10175, 10225, 33396602
08/14/24, 10300, 10300, 10200, 10200, 47999102
08/13/24, 10250, 10300, 10175, 10300, 55207102
08/12/24, 10100, 10200, 10075, 10200, 40364102
08/09/24, 10225, 10250, 10100, 10150, 47062398
08/08/24, 10150, 10225, 10075, 10225, 54162102
08/07/24, 10000, 10100, 10000, 10100, 52347102
08/06/24, 10075, 10075, 9950, 10000, 78473906
08/05/24, 10000, 10150, 9875, 9875, 126328305
08/02/24, 10275, 10350, 10200, 10200, 55774801
08/01/24, 10200, 10375, 10200, 10375, 61176199
07/31/24, 10350, 10350, 10225, 10275, 82519906
07/30/24, 10300, 10300, 10175, 10175, 32201100
07/29/24, 10400, 10425, 10175, 10250, 69092492
07/26/24, 10375, 10400, 10300, 10325, 75565797
07/25/24, 10225, 10300, 10200, 10300, 98088094
07/24/24, 10125, 10175, 10075, 10075, 24658000
07/23/24, 10200, 10200, 10125, 10175, 39321102
07/22/24, 10125, 10150, 10100, 10100, 31285301
07/19/24, 10050, 10125, 9975, 10125, 53880301
07/18/24, 9800, 10100, 9800, 10100, 65383199
07/16/24, 9975, 10025, 9950, 9950, 37192699
07/15/24, 10050, 10075, 9950, 10050, 36682602
07/12/24, 10050, 10100, 10025, 10075, 79027906
