Date, Open, High, Low, Close, Volume
10/31/24, 7525, 7650, 7500, 7600, 25840000
10/30/24, 7575, 7575, 7450, 7475, 9561400
10/29/24, 7500, 7575, 7450, 7575, 10860100
10/28/24, 7500, 7525, 7375, 7525, 4958500
10/25/24, 7575, 7575, 7450, 7500, 6074400
10/24/24, 7500, 7550, 7475, 7525, 9344600
10/23/24, 7450, 7550, 7425, 7500, 19206699
10/22/24, 7400, 7475, 7350, 7425, 14443100
10/21/24, 7400, 7425, 7325, 7400, 8431800
10/18/24, 7225, 7475, 7200, 7425, 23782600
10/17/24, 7175, 7275, 7175, 7175, 5424900
10/16/24, 7250, 7275, 7150, 7175, 8884800
10/15/24, 7050, 7250, 7050, 7200, 17967100
10/14/24, 7000, 7100, 6975, 7050, 3970200
10/11/24, 7100, 7100, 6975, 7000, 4466300
10/10/24, 7000, 7100, 6925, 7025, 11875300
10/09/24, 7000, 7025, 6925, 6925, 9822000
10/08/24, 6925, 7000, 6850, 7000, 8899500
10/07/24, 7000, 7000, 6825, 6925, 10832200
10/04/24, 7100, 7125, 7000, 7050, 5621400
10/03/24, 7075, 7150, 7050, 7100, 6836300
10/02/24, 7125, 7150, 7025, 7075, 9654400
10/01/24, 7050, 7175, 7050, 7175, 10450000
09/30/24, 7175, 7175, 7050, 7050, 11723100
09/27/24, 7250, 7250, 7175, 7175, 9528100
09/26/24, 7200, 7250, 7175, 7225, 17996900
09/25/24, 7175, 7175, 7075, 7175, 17985301
09/24/24, 7125, 7175, 7075, 7175, 15044300
09/23/24, 7150, 7175, 7075, 7100, 12867300
09/20/24, 7100, 7200, 7075, 7150, 26483100
09/19/24, 7100, 7150, 7075, 7075, 10922700
09/18/24, 7125, 7150, 7050, 7075, 5432300
09/17/24, 7100, 7150, 7025, 7100, 7883900
09/13/24, 7150, 7200, 7050, 7100, 10834600
09/12/24, 7050, 7175, 6975, 7150, 22469600
09/11/24, 7000, 7025, 6950, 7000, 9456400
09/10/24, 6950, 7050, 6925, 7050, 12142200
09/09/24, 7000, 7025, 6850, 6925, 7130200
09/06/24, 6925, 7075, 6900, 7025, 14297700
09/05/24, 6700, 6975, 6700, 6975, 24214500
09/04/24, 6725, 6725, 6650, 6700, 8269000
09/03/24, 6700, 6775, 6675, 6775, 11645700
09/02/24, 6825, 6825, 6725, 6725, 7855400
08/30/24, 6800, 6850, 6725, 6850, 22109100
08/29/24, 6825, 6825, 6750, 6800, 13268500
08/28/24, 6825, 6825, 6700, 6825, 9438700
08/27/24, 6875, 6900, 6725, 6800, 12167700
08/26/24, 6700, 6850, 6675, 6850, 14052700
08/23/24, 6650, 6725, 6575, 6700, 12451800
08/22/24, 6575, 6650, 6550, 6650, 12105900
08/21/24, 6550, 6650, 6525, 6625, 15685700
08/20/24, 6500, 6525, 6425, 6525, 15255400
08/19/24, 6525, 6525, 6375, 6450, 10034100
08/16/24, 6500, 6525, 6400, 6525, 9525600
08/15/24, 6500, 6550, 6400, 6475, 9582600
08/14/24, 6325, 6650, 6325, 6500, 29984699
08/13/24, 6275, 6350, 6275, 6325, 10450200
08/12/24, 6275, 6300, 6225, 6250, 5556100
08/09/24, 6225, 6275, 6175, 6275, 7072600
08/08/24, 6150, 6225, 6125, 6225, 9398000
08/07/24, 6075, 6150, 6075, 6125, 4242600
08/06/24, 6025, 6150, 6025, 6100, 11577400
08/05/24, 6075, 6100, 5950, 6050, 12489900
08/02/24, 6150, 6175, 6100, 6100, 6432100
08/01/24, 6075, 6250, 6025, 6150, 15237800
07/31/24, 6075, 6125, 6025, 6125, 14631000
07/30/24, 6125, 6125, 6000, 6050, 4096800
07/29/24, 6075, 6150, 6075, 6075, 4808700
07/26/24, 6125, 6150, 6050, 6125, 5425500
07/25/24, 6000, 6100, 5975, 6100, 9087300
07/24/24, 6100, 6125, 5975, 6000, 9933700
07/23/24, 6050, 6100, 6025, 6100, 5032300
07/22/24, 6100, 6100, 6000, 6025, 4423500
07/19/24, 6050, 6075, 5975, 6075, 6000100
07/18/24, 6050, 6075, 6000, 6075, 5349000
07/17/24, 5975, 6050, 5950, 6050, 7001500
07/16/24, 5975, 5975, 5925, 5950, 3606700
07/15/24, 5975, 6000, 5925, 5975, 3834200
07/12/24, 5975, 6000, 5950, 5950, 4138300
07/11/24, 6000, 6025, 5925, 5925, 6350700
07/10/24, 5975, 6025, 5950, 6000, 7017700
07/09/24, 5975, 6000, 5900, 5950, 10614700
07/08/24, 6125, 6200, 6125, 6200, 11876600
07/05/24, 6100, 6125, 6075, 6125, 5046400
07/04/24, 6100, 6125, 6075, 6075, 3875700
07/03/24, 6100, 6100, 6025, 6100, 6800500
07/02/24, 6100, 6125, 6050, 6100, 6210100
07/01/24, 6075, 6100, 6025, 6100, 8021400
06/28/24, 6000, 6150, 6000, 6075, 10535600
06/27/24, 5950, 6050, 5925, 6025, 6280500
06/26/24, 5950, 5950, 5875, 5900, 7732400
06/25/24, 5950, 5975, 5875, 5950, 5323200
06/24/24, 6025, 6025, 5925, 5925, 6285700
06/21/24, 5925, 6100, 5900, 5975, 17308900
06/20/24, 5950, 5950, 5850, 5925, 8634300
06/19/24, 6075, 6100, 5850, 5925, 12196300
06/14/24, 6125, 6150, 6025, 6075, 7040000
06/13/24, 6200, 6200, 6100, 6125, 5135700
06/12/24, 6125, 6200, 6100, 6200, 6352800
06/11/24, 6150, 6175, 6100, 6125, 5396100
